Date,Last Crawling,SKU Name,Product Name,Url Product,Seller,Merchant,Stock,Item Condition,Filter,Flag,Bottom Price,Original Price,Discount,Selling Price,Discrepancy,Sales Quantity,Sales Revenue
10/22/2022,10/22/2022,TL WR840N,DISKON ROUTER TP-LINK TL-WR840N 300Mbps Wireless N Router 2 Antenna,https://tokopedia.com/brantaofficial/diskon-router-tp-link-tl-wr840n-300mbps-wireless-n-router-2-antenna,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,255000,0,255000,0.0164516129032258,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless Router WR840N M9,https://tokopedia.com/lucu-1/tp-link-tl-wr840n-300mbps-wireless-router-wr840n-m9,LUCU_U,tokopedia,In Stock,baru,Above,Please Check,155000,277000,0,277000,0.0178709677419354,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK WiFi Wireless Router 300Mbps - TL-WR840N,https://tokopedia.com/kela-/tp-link-wifi-wireless-router-300mbps-tl-wr840n,KELA_STORE,tokopedia,In Stock,baru,Above,Please Check,155000,289000,0,289000,0.0186451612903225,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300MBps Wireless Router WR840N tplink 840n wifi 840,https://tokopedia.com/thanthan/tp-link-tl-wr840n-300mbps-wireless-router-wr840n-tplink-840n-wifi-840,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,250000,0,250000,0.0161290322580645,0,0
10/22/2022,10/22/2022,TL WR840N,YS559 TP-LINK TL-WR840N Wireless Router N WR840N 300Mbps 2 antena,https://tokopedia.com/nbox-3/ys559-tp-link-tl-wr840n-wireless-router-n-wr840n-300mbps-2-antena,Nahar Box,tokopedia,In Stock,baru,Above,Please Check,155000,248000,0,248000,0.016,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N Wireless Router N WR840N 300Mbps 2 antena,https://tokopedia.com/sandrinastore1-1/tp-link-tl-wr840n-wireless-router-n-wr840n-300mbps-2-antena,Sandrina_Store1,tokopedia,In Stock,baru,Above,Please Check,155000,266000,0,266000,0.0171612903225806,0,0
10/22/2022,10/22/2022,TL WR840N,READY STOK Router TP-LINK TL-WR840N 300Mbps KUALITAS NO 1,https://tokopedia.com/brantaofficial/ready-stok-router-tp-link-tl-wr840n-300mbps-kualitas-no-1,Branta Official,tokopedia,In Stock,baru,Above,Please Check,155000,258000,0,258000,0.0166451612903225,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless N Router 2 Antena,https://tokopedia.com/ccplace/tp-link-tl-wr840n-300mbps-wireless-n-router-2-antena,ccplace shop,tokopedia,In Stock,baru,Above,Please Check,155000,241000,0,241000,0.0155483870967741,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR 840N | TP Link TL-WR840N Routher Wifi Wireless N 300Mbps,https://tokopedia.com/thanthan/tp-link-tl-wr-840n-tp-link-tl-wr840n-routher-wifi-wireless-n-300mbps,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,229000,0,229000,0.014774193548387,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK 300Mbps Wireless N Router TL-WR840N,https://tokopedia.com/sandrinastore1-1/tp-link-300mbps-wireless-n-router-tl-wr840n,Sandrina_Store1,tokopedia,In Stock,baru,Above,Please Check,155000,274000,0,274000,0.0176774193548387,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK Best seller TL-WR840N 300Mbps Wireless N Router WIFI,https://tokopedia.com/boneshop9-1/tp-link-best-seller-tl-wr840n-300mbps-wireless-n-router-wifi,boneshop9,tokopedia,In Stock,baru,Above,Please Check,155000,818000,0,818000,0.0527741935483871,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless N Router (Antenna),https://tokopedia.com/kela-/tp-link-tl-wr840n-300mbps-wireless-n-router-antenna,KELA_STORE,tokopedia,In Stock,baru,Above,Please Check,155000,245000,0,245000,0.0158064516129032,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-Link Tl-Wr840N 300Mbps Wireless Router / Wifi Router Tplink Wr840N,https://tokopedia.com/nugrahaabadi123/tp-link-tl-wr840n-300mbps-wireless-router-wifi-router-tplink-wr840n,nugraha abadi123,tokopedia,In Stock,baru,Above,Please Check,155000,272000,0,272000,0.0175483870967741,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N Wireless N Router 300Mbps Wifi Router TPLINK WR840N,https://tokopedia.com/kela-/tp-link-tl-wr840n-wireless-n-router-300mbps-wifi-router-tplink-wr840n,KELA_STORE,tokopedia,In Stock,baru,Above,Please Check,155000,233000,0,233000,0.0150322580645161,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK WIRELESS ROUTER TL WR840N 300 MBPS,https://tokopedia.com/thanthan/tp-link-wireless-router-tl-wr840n-300-mbps,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,247000,0,247000,0.0159354838709677,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK ROUTER WIRELESS WI-FI TL-WR840N 300mbps ORIGINAL GARANSI RESMI,https://tokopedia.com/gavinstore-/tp-link-router-wireless-wi-fi-tl-wr840n-300mbps-original-garansi-resmi,Gavinstore-id,tokopedia,In Stock,baru,Above,Please Check,155000,234000,0,234000,0.0150967741935483,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK Wireless TL-WR840N COD TP Router 300Mbps LINK,https://tokopedia.com/holisop/tp-link-wireless-tl-wr840n-cod-tp-router-300mbps-link,holisop,tokopedia,In Stock,baru,Above,Please Check,155000,267000,0,267000,0.0172258064516129,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless Router WR840N M9,https://tokopedia.com/sandrinastore1-1/tp-link-tl-wr840n-300mbps-wireless-router-wr840n-m9,Sandrina_Store1,tokopedia,In Stock,baru,Above,Please Check,155000,269000,0,269000,0.0173548387096774,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-Link TL-WR840N 300Mbps Wireless N Speed Router WiFi 840 840n wr840,https://tokopedia.com/ekaaast/tp-link-tl-wr840n-300mbps-wireless-n-speed-router-wifi-840-840n-wr840,ekaaa_store,tokopedia,In Stock,baru,Above,Please Check,155000,218800,0,218800,0.014116129032258,0,0
10/22/2022,10/22/2022,TL WR840N,TP-Link TL-WR840N 300Mbps Wireless N Router,https://tokopedia.com/belsa/tp-link-tl-wr840n-300mbps-wireless-n-router,BELSA_SHOP,tokopedia,In Stock,baru,Above,Please Check,155000,250000,0,250000,0.0161290322580645,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless N Router Best seller 300Mbps,https://tokopedia.com/gavinstore-/tp-link-tl-wr840n-300mbps-wireless-n-router-best-seller-300mbps,Gavinstore-id,tokopedia,In Stock,baru,Above,Please Check,155000,228000,0,228000,0.0147096774193548,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR840N 300Mbps Wireless N Router 2 Antena,https://tokopedia.com/garwitastore-i/tp-link-tl-wr840n-300mbps-wireless-n-router-2-antena,Garwitastore-id,tokopedia,In Stock,baru,Above,Please Check,155000,232000,0,232000,0.0149677419354838,0,0
10/22/2022,10/22/2022,TL WR840N,TL-WR840N TP-Link 300Mbps Router Wireless N Speed,https://tokopedia.com/boneshop9-1/tl-wr840n-tp-link-300mbps-router-wireless-n-speed,boneshop9,tokopedia,In Stock,baru,Above,Please Check,155000,377000,0,377000,0.0243225806451612,0,0
10/22/2022,10/22/2022,TL WR840N,[ COD ] TP-LINK TL-WR840N 300Mbps Wireless Router TP LINK,https://tokopedia.com/ccwinta/cod-tp-link-tl-wr840n-300mbps-wireless-router-tp-link,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,274000,0,274000,0.0176774193548387,0,0
10/22/2022,10/22/2022,TL WR840N,TL-WR840N TP-Link 300Mbps Router Wireless N Speed,https://tokopedia.com/heycostore/tl-wr840n-tp-link-300mbps-router-wireless-n-speed,heyco store,tokopedia,In Stock,baru,Above,Please Check,155000,264000,0,264000,0.0170322580645161,0,0
10/22/2022,10/22/2022,TL WR840N,Range Wifi Extender | TP-Link TL-WR840N 300MBps Wireless Router Access,https://tokopedia.com/abadiy-2/range-wifi-extender-tp-link-tl-wr840n-300mbps-wireless-router-access,ABADI_Y,tokopedia,In Stock,baru,Above,Please Check,155000,316000,0,316000,0.0203870967741935,0,0
10/22/2022,10/22/2022,TL WR840N,Tp-link tl-wr840n WR840N,https://tokopedia.com/chalshop43/tp-link-tl-wr840n-wr840n,Chalshop43,tokopedia,In Stock,baru,Above,Please Check,155000,295000,0,295000,0.0190322580645161,0,0
10/22/2022,10/22/2022,TL WR840N,TP-LINK TL-WR 840N TL-WR840N 300MBps Wireless Router 2 Antenna,https://tokopedia.com/ccwinta/tp-link-tl-wr-840n-tl-wr840n-300mbps-wireless-router-2-antenna,ccwinta shop,tokopedia,In Stock,baru,Above,Please Check,155000,285000,0,285000,0.0183870967741935,0,0
10/22/2022,10/22/2022,TL WR840N,Wireless N Router TP-LINK TL-WR840N Router wifi 300Mbps 2 Antenna,https://tokopedia.com/thanthan/wireless-n-router-tp-link-tl-wr840n-router-wifi-300mbps-2-antenna,THANTHAN_ACC57,tokopedia,In Stock,baru,Above,Please Check,155000,253000,0,253000,0.0163225806451612,0,0
10/22/2022,10/22/2022,TL WR840N,TP LINK TP-LINK TL-WR840N 300Mbps Wireless Router TP LINK,https://tokopedia.com/boneshop9-1/tp-link-tp-link-tl-wr840n-300mbps-wireless-router-tp-link,boneshop9,tokopedia,In Stock,baru,Above,Please Check,155000,377000,0,377000,0.0243225806451612,0,0
